Date,AvgTempC,Precip. in / cm,WindSpeedMph,,Location ,Egypt ,,,,,,
26/12/2017,12.2,0,4.8,,Weather Station,Asyut Intl,,,,,,
27/12/2017,14.6,0,4.9,,Source website,https://geographic.org/global_weather/weather_data_2.php?month=03&year=2018&id=62393099999&name=Asyut%20Intl&country=Egypt,,,,,,
28/12/2017,14.2,0,6.6,,,,,,,,,
29/12/2017,13.8,0,6,,,,,,,,,
30/12/2017,13.3,0,4.5,,,,,,,,,
31/12/2017,12.1,0,8.3,,,,,,,,,
01/01/2018,11.4,0,8.5,,,,,,,,,
02/01/2018,11.4,0,4.2,,,,,,,,,
03/01/2018,12.1,0,3.8,,,,,,,,,
04/01/2018,12.1,0,11.1,,,,,,,,,
05/01/2018,14.5,0,12.2,,,,,,,,,
06/01/2018,13.7,0,7.2,,,,,,,,,
07/01/2018,13.8,0,6.7,,,,,,,,,
08/01/2018,13.8,0,4.2,,,,,,,,,
09/01/2018,14.5,0,3.5,,,,,,,,,
10/01/2018,14.7,0,3.9,,,,,,,,,
11/01/2018,15.3,0,7.9,,,,,,,,,
12/01/2018,13.4,0,9.7,,,,,,,,,
13/1/2018,14.5,0,10.5,,,,,,,,,
14/1/2018,13.6,0,11.5,,,,,,,,,
15/1/2018,13.1,0,11.2,,,,,,,,,
16/1/2018,13.2,0,11.7,,,,,,,,,
17/1/2018,12.1,0,8.5,,,,,,,,,
18/1/2018,13,0,7.7,,,,,,,,,
19/1/2018,11.8,0,10.4,,,,,,,,,
20/1/2018,11.5,0,5.6,,,,,,,,,
21/1/2018,13.2,0,7.4,,,,,,,,,
22/1/2018,12.8,0,11.5,,,,,,,,,
23/1/2018,13.4,0,9,,,,,,,,,
24/1/2018,11.9,0,6.2,,,,,,,,,
25/1/2018,11.4,0,9.2,,,,,,,,,
26/1/2018,10.9,0,9.7,,,,,,,,,
27/1/2018,10.4,0,5.7,,,,,,,,,
28/1/2018,11.4,0,8,,,,,,,,,
29/1/2018,11.6,0,10.1,,,,,,,,,
30/1/2018,12.1,0,10.3,,,,,,,,,
31/1/2018,11.6,0,9.4,,,,,,,,,
01/02/2018,11.8,0,9.8,,,,,,,,,
02/02/2018,12.9,0,5.3,,,,,,,,,
03/02/2018,15.9,0,3.5,,,,,,,,,
04/02/2018,18.3,0,5.1,,,,,,,,,
05/02/2018,20.9,0,4.3,,,,,,,,,
06/02/2018,18.9,0,5.2,,,,,,,,,
