,coef,std_err,t,p,ci_low,ci_high
Intercept,2.972613866284409,2.3496937976296985,1.2651069127743768,0.20622909316472482,-1.640205432201133,7.585433164769951
seconds_after_rat_arrival,0.000865568329779747,0.0011137820884863285,0.7771433377565684,0.437321228246225,-0.001320961471362854,0.003052098130922348
hours_after_sunset_d1,0.09522002243607817,0.15032226132439425,0.6334392630682566,0.526641499602766,-0.1998862712982984,0.39032631617045477
risk,3.7330838799137855,0.47997328921756993,7.7776908919229335,2.4659471102603187e-14,2.7908206567253697,4.675347103102201
season,0.6509832709795359,1.1329579081483485,0.5745873401805999,0.5657441063380063,-1.573191686774737,2.8751582287338087
bat_landing_number,-0.005937942002712926,0.010651090608857822,-0.5574961495280797,0.5773561766795992,-0.026847711760806487,0.014971827755380637
rat_arrival_number,-0.37408585615849005,0.18043550793577293,-2.073238579468782,0.03849372834530644,-0.7283091996331975,-0.019862512683782585
food_availability,0.3193846612001251,0.49571749303727836,0.6442876551385027,0.519587497853498,-0.6537869157883063,1.2925562381885565
rat_minutes,-0.14757684221599285,0.15191870441646907,-0.9714198313028429,0.331654959611111,-0.44581720538166525,0.15066352094967952
season:rat_minutes,0.16113573524794922,0.15540528212758536,1.0368742493299503,0.3001313405491722,-0.14394932954128398,0.4662208000371824
